(378, 544)
(491, 529)
(490, 527)
(500, 548)
(505, 555)
(504, 557)
(497, 552)
(495, 573)
(497, 574)
(494, 579)
(449, 596)
(434, 573)
(428, 572)
(422, 578)
(409, 585)
(377, 591)
(369, 599)
(811, 524)
(792, 535)
(771, 563)
(770, 566)
(776, 552)
(776, 534)
(783, 517)
(778, 521)
(803, 520)
(830, 531)
(863, 552)
(867, 576)
(771, 522)
(759, 521)
(777, 503)
(743, 528)
(727, 536)
(721, 542)
(718, 553)
(709, 580)
(716, 576)
(711, 577)
(704, 578)
(705, 575)
(701, 602)
(738, 595)
(769, 567)
(773, 566)
(776, 563)
(779, 570)
(789, 569)
(801, 566)
(795, 569)
(789, 568)
(787, 573)
(790, 573)
(804, 575)
(829, 586)
(844, 583)
(859, 579)
(864, 575)
(864, 571)
(852, 567)
(846, 564)
(829, 563)
(814, 574)
(825, 575)
(846, 584)
(865, 590)
(886, 585)
(904, 583)
(908, 579)
(893, 577)
(888, 571)
(859, 568)
(843, 560)
(834, 556)
(790, 582)
(790, 584)
(804, 599)
(876, 588)
(373, 540)
(885, 584)
(372, 542)
(889, 575)
(883, 573)
(854, 560)
(377, 546)
(827, 563)
(375, 569)
(809, 572)
(807, 579)
(819, 579)
(853, 578)
(863, 588)
(870, 590)
(374, 570)
(884, 589)
(370, 576)
(887, 585)
(372, 574)
(887, 570)
(377, 572)
(876, 566)
(376, 569)
(855, 560)
(840, 556)
(372, 568)
(823, 548)
(806, 548)
(791, 547)
(777, 552)
(767, 564)
(755, 583)
(744, 596)
(724, 603)
(688, 600)
(660, 599)
(635, 596)
(591, 601)
(584, 604)
(613, 602)
(627, 605)
(632, 600)
(611, 591)
(593, 590)
(552, 599)
(557, 612)
(609, 606)
(620, 604)
(618, 601)
(606, 593)
(578, 601)
(568, 603)
(569, 598)
(576, 585)
(567, 569)
(589, 552)
(599, 539)
(620, 534)
(650, 538)
(715, 560)
(695, 547)
(690, 552)
(689, 546)
(684, 557)
(683, 558)
(697, 562)
(716, 553)
(720, 551)
(708, 550)
(706, 552)
(690, 550)
(683, 544)
(691, 538)
(694, 538)
(700, 532)
(706, 523)
(711, 515)
(718, 501)
(729, 497)
(742, 489)
(463, 516)
(457, 525)
(460, 509)
(464, 514)
